;Bostezo;perCLOS;IndicadorE;IndBostezo;Clase;
0;0,1;0,620261418;1;0,5;0,608035141;0,5
1;0,1;0,889967835;0;0;0,149066667;0
2;0,1;0,908671957;0;0;0,149066667;0
3;0,1;0,856399923;0;0;0,149066667;0
4;0,1;0,541029484;1;0,5;0,804761905;1
5;0,1;0,852559591;0;0;0,149066667;
6;0,1;0,811023458;0;0;0,149066667;
7;0,1;0,867135825;0;0;0,149066667;
8;0,1;0,954335979;0;0;0,149066667;
9;0,1;1;0;0;0,149066667;
10;0,1;1;0;0;0,149066667;
11;0,1;1;0;0;0,149066667;
12;0,1;1;0;0;0,149066667;
13;0,1;1;0;0;0,149066667;
14;0,1;1;0;0;0,149066667;
15;0,1;1;0;0;0,149066667;
16;0,1;1;0;0;0,149066667;
17;0,1;1;0;0;0,149066667;
18;0,1;1;0;0;0,149066667;
19;0,1;1;0;0;0,149066667;
20;0,1;1;0;0;0,149066667;
21;0,1;0,671784481;1;0,5;0,434035459;
22;0,1;0,792031779;0;0;0,17603644;
23;0,1;0,931503968;0;0;0,149066667;
24;0,1;1;0;0;0,149066667;
25;0,1;1;0;0;0,149066667;
26;0,1;1;0;0;0,149066667;
27;0,1;1;0;0;0,149066667;
28;0,1;1;0;0;0,149066667;
29;0,1;1;0;0;0,149066667;
30;0,1;1;0;0;0,149066667;
31;0,1;1;0;0;0,149066667;
32;0,1;1;0;0;0,149066667;
33;0,1;1;0;0;0,149066667;
34;0,1;1;0;0;0,149066667;
35;0,1;1;0;0;0,149066667;
36;0,1;1;0;0;0,149066667;
37;0,1;1;0;0;0,149066667;
38;0,1;1;0;0;0,149066667;
39;0,1;1;0;0;0,149066667;
40;0,1;1;0;0;0,149066667;
41;0,1;1;0;0;0,149066667;
42;0,1;1;0;0;0,149066667;
43;0,1;1;0;0;0,149066667;
44;0,1;0,704082654;1;0,5;0,386011467;
45;0,1;0,954335979;0;0;0,149066667;
46;0,1;1;0;0;0,149066667;
47;0,1;1;0;0;0,149066667;
48;0,1;1;0;0;0,149066667;
49;0,1;1;0;0;0,149066667;
50;0,1;1;0;0;0,149066667;
51;0,1;1;0;0;0,149066667;
52;0,1;1;0;0;0,149066667;
53;0,1;1;0;0;0,149066667;
54;0,1;1;0;0;0,149066667;
55;0,1;1;0;0;0,149066667;
56;0,1;1;0;0;0,149066667;
57;0,1;1;0;0;0,149066667;
58;0,1;1;0;0;0,149066667;
59;0,1;1;0;0;0,149066667;
60;0,1;1;0;0;0,149066667;
61;0,1;1;0;0;0,149066667;
62;0,1;1;0;0;0,149066667;
63;0,1;1;0;0;0,149066667;
64;0,1;1;0;0;0,149066667;
65;0,1;1;0;0;0,149066667;
66;0,1;1;0;0;0,149066667;
67;0,1;1;0;0;0,149066667;
68;0,1;1;0;0;0,149066667;
69;0,1;1;0;0;0,149066667;
70;0,1;0,954335979;0;0;0,149066667;
71;0,1;0,954335979;0;0;0,149066667;
72;0,1;1;0;0;0,149066667;
73;0,1;1;0;0;0,149066667;
74;0,1;1;0;0;0,149066667;
75;0,1;1;0;0;0,149066667;
76;0,1;1;0;0;0,149066667;
77;0,1;1;0;0;0,149066667;
78;0,1;1;0;0;0,149066667;
79;0,1;1;0;0;0,149066667;
80;0,1;1;0;0;0,149066667;
81;0,1;1;0;0;0,149066667;
82;0,1;1;0;0;0,149066667;
83;0,1;1;0;0;0,149066667;
84;0,1;1;0;0;0,149066667;
85;0,1;1;0;0;0,149066667;
86;0,1;1;0;0;0,149066667;
87;0,1;1;0;0;0,149066667;
88;0,1;0,977167989;0;0;0,149066667;
89;0,1;0,931503968;0;0;0,149066667;
90;0,1;1;0;0;0,149066667;
91;0,1;1;0;0;0,149066667;
92;0,1;1;0;0;0,149066667;
93;0,1;1;0;0;0,149066667;
94;0,1;0,916927734;0;0;0,149066667;
95;0,1;0,428978609;1;0,5;0,804761905;
96;0,1;0,764610466;1;0,5;0,29406576;
97;0,1;0,885839947;0;0;0,149066667;
98;0,1;0,867135825;0;0;0,149066667;
99;0,1;1;0;0;0,149066667;
100;0,1;0,954335979;0;0;0,149066667;
101;0,1;0,871263713;0;0;0,149066667;
102;0,1;0,428978609;1;0,5;0,804761905;
103;0,1;0,787903891;1;0,5;0,228084293;
104;0,1;0,931503968;0;0;0,149066667;
105;0,1;0,908671957;0;0;0,149066667;
106;0,1;0,954335979;0;0;0,149066667;
107;0,1;1;0;0;0,149066667;
108;0,1;1;0;0;0,149066667;
109;0,1;1;0;0;0,149066667;
110;0,1;0,885839947;0;0;0,149066667;
111;0,1;0,885839947;0;0;0,149066667;
112;0,1;0,885839947;0;0;0,149066667;
113;0,1;0,885839947;0;0;0,149066667;
114;0,1;0,885839947;0;0;0,149066667;
115;0,1;0,885839947;0;0;0,149066667;
116;0,1;0,885839947;0;0;0,149066667;
117;0,1;0,848431702;0;0;0,149066667;
118;0,1;0,237695801;1;0,5;0,804761905;
119;0,1;0,722786777;1;0,5;0,365446298;
120;0,1;0,885839947;0;0;0,149066667;
121;0,1;0,908671957;0;0;0,149066667;
122;0,1;0,908671957;0;0;0,149066667;
123;0,1;0,787903891;1;0,5;0,228084293;
124;0,1;0,494616492;1;0,5;0,804761905;
125;0,1;0,931503968;0;0;0,149066667;
126;0,1;1;0;0;0,149066667;
127;0,1;0,735631856;1;0,5;0,347785135;
128;0,1;0,745618787;1;0,5;0,331691556;
129;0,1;0,954335979;0;0;0,149066667;
130;0,1;1;0;0;0,149066667;
131;0,1;1;0;0;0,149066667;
132;0,1;1;0;0;0,149066667;
133;0,1;1;0;0;0,149066667;
134;0,1;1;0;0;0,149066667;
135;0,1;1;0;0;0,149066667;
136;0,1;0,61486379;1;0,5;0,644246096;
137;0,1;0,856399923;0;0;0,149066667;
138;0,1;0,977167989;0;0;0,149066667;
139;0,1;1;0;0;0,149066667;
140;0,1;1;0;0;0,149066667;
141;0,1;0,867135825;0;0;0,149066667;
142;0,1;0,559733606;1;0,5;0,804761905;
143;0,1;0,820722832;0;0;0,149066667;
144;0,1;0,885839947;0;0;0,149066667;
